token,count,mean_attr
penis,4,19.242112636566162
motherfucker,3,18.510884508490562
fuck,16,16.524791904166342
fucking,22,14.318698082367579
ass,8,12.436071356137594
pussy,2,10.65904712677002
dick,9,10.160729688902697
shit,10,9.73951726257801
suck,2,8.80016565322876
bitch,10,7.907077669600646
slut,2,7.8999593555927285
cock,2,7.284599781036377
tit,2,6.506022721529007
cunt,1,6.493803143501282
idiot,1,6.44150447845459
fucker,1,6.131847858428955
masturbating,1,5.865185797214508
asshole,1,5.693190485239029
loser,1,5.642341494560242
vagina,1,5.631039619445801
racist,2,5.3694175481796265
dumb,1,4.223361015319824
goddamn,1,3.8670068979263306
woman,3,3.8496521711349487
nigger,1,3.705384612083435
moron,1,3.59142541885376
motherfucke,1,3.576230578124523
bullshit,1,3.5569095611572266
idiotic,1,3.301320075988769
fat,1,3.2545881271362305
